Inf,Rec,Name,Transfer Value,Pts/Gm,CA,Division,xGP/90,Sv %,xSv %,Aer A/90,OPCrs C/90,Hdrs A,Conv %,Mins/Gl,xA/90,Saves/90,xG/90,Gls/90,NPxG/90,xG/shot,Shot %,Hdrs W/90,K Hdrs/90,Cr C/A,Crs A/90,Cr C/90,OPCr %,OPCrs C,Dist/90,Drb/90,Ps A/90,Ps C/90,Sprints/90,Poss Lost/90,Pr passes/90,Shots Outside Box/90,Shot/90,ShT/90,Blk/90,Clr/90,Int/90,Poss Won/90,OPKP/90,Pres C/90,Shts Blckd/90,Hdr %,Tck/90,Tck R,Pas %,Pres A/90,K Tck/90,Ch C/90,K Ps/90,Asts/90
,  ,Darren Keane,£1K  £2.5K,1.7,78,JD Cymru Premier,,,,6.01,0.42,216,3%,"1,618.50",0.04,,0.24,0.06,0.24,0.14,13%,2.81,0.14,12%,3.28,0.42,13%,15,12.8km,1.03,46.43,40.57,16.68,13.96,5.37,0.42,1.7,0.22,0.61,1.5,2.5,16.35,0.95,2.11,0.7,47%,1.84,75%,87%,7.56,0.14,0.06,0.95,0.03
,  ,Padraig Owens,£2K  £6K,1.54,92,JD Cymru Premier,,,,7.15,0.52,138,4%,"1,738.00",0.08,,0.19,0.05,0.19,0.14,22%,4.82,0.52,13%,3.94,0.52,13%,10,12.3km,0.98,45.05,38.11,14.4,14.34,4.45,0.47,1.4,0.31,0.88,1.4,2.02,11.03,0.83,2.07,0.16,67%,1.86,82%,85%,7.3,0.21,0.31,0.83,
,  ,Richard Edwards,£0,0.84,58,JD Cymru Premier,,,,6.98,0.52,201,8%,864,0.05,,0.13,0.1,0.13,0.1,30%,3.72,0.56,14%,3.54,0.52,15%,15,12.1km,0.69,45.62,39.41,11.25,16.74,3.96,0.42,1.28,0.38,0.8,1.28,2.26,17.43,0.76,1.53,1.98,53%,1.67,81%,86%,7.74,0.03,0.21,0.76,0.1
,  ,Harry Lee,£1K  £3.5K,1.41,73,JD Cymru Premier,,,,6.63,0.39,170,8%,769.67,0.09,,0.13,0.12,0.13,0.09,25%,3.08,0.51,12%,3.04,0.39,13%,10,12.1km,0.55,45.57,37.73,11.03,13.45,4.95,0.47,1.4,0.35,0.82,1.95,2.3,17.54,1.36,2.3,0.27,46%,2.22,88%,83%,6.43,0.23,0.08,1.36,0.16
,  ,Calum Hayes,£0,0.92,57,JD Cymru Premier,,,,5.67,0.49,140,,,0.04,,0.02,,0.02,0.09,20%,3.08,0.36,15%,3.24,0.49,15%,12,12.0km,0.53,46.56,38.91,10.85,15.75,5.34,0.08,0.2,0.04,0.77,1.54,2.59,9.31,1.05,2.27,0.28,54%,1.66,63%,84%,6.84,0.08,,1.05,0.12
,  ,Connor Hughes,£0,0.41,23,JD Cymru Premier,,,,6.73,0.22,90,,,0.01,,0.09,,0.09,0.13,33%,2.84,0.37,6%,4.04,0.22,6%,3,11.8km,0.6,47.09,40.66,14.43,21.6,4.19,0.07,0.67,0.22,0.45,1.94,1.87,4.93,1.05,2.02,0.52,42%,2.24,88%,86%,6.73,0,,1.05,
Trn,  ,Terrell Agyemang,£0,1.73,71,JD Cymru Premier,,,,4.76,0.2,143,11%,"1,351.00",0.22,,0.06,0.07,0.06,0.09,37%,1.33,0.1,16%,1.23,0.2,16%,6,11.4km,0.6,44.2,37.31,6.46,11.59,4.1,0.27,0.63,0.23,0.3,1.13,1.63,12.62,1.57,2.5,0,28%,1.47,68%,84%,9.93,0,0.27,1.57,0.23
,  ,Noah Watson,£0,1.73,70,JD Cymru Premier,,,,7.62,0.12,248,15%,"1,464.00",0.03,,0.02,0.06,0.02,0.05,31%,4.98,0.74,26%,0.46,0.12,27%,4,11.0km,0.55,52.56,42.11,5.87,5.26,3.97,0.22,0.4,0.12,0.83,1.54,2.03,15.12,0.28,1.11,0.43,65%,1.23,89%,80%,4.3,0.15,0.03,0.28,0.03
,  ,Ellis Smith,£0,1.68,68,JD Cymru Premier,,,,5.03,0.42,121,,,0.08,,0.01,,0.01,0.05,0%,2.7,0.29,16%,2.53,0.42,16%,10,11.9km,0.75,46.35,39.66,10.92,13.29,6.02,0,0.25,0,0.79,1.62,2.57,16.57,1.16,2.12,0.37,54%,2.41,81%,86%,7.19,0.12,0.21,1.16,0.08
,  ,Malique Spooner,£0,0.9,56,JD Cymru Premier,,,,6.96,0.23,180,,,0.12,,0.04,,0.04,0.05,19%,3.67,0.58,7%,3.28,0.23,7%,6,12.3km,0.43,47.07,40.07,11.79,13.8,5.72,0.35,0.81,0.15,0.77,1.82,2.09,11.32,1.24,1.89,1.2,53%,1.97,86%,85%,7.07,0.19,0.08,1.24,0.08
,  ,Daniel Williams,£8K  £24K,2.21,98,JD Cymru Premier,,,,5.9,0.35,218,,,0.03,,0.06,,0.06,0.16,15%,3.17,0.38,9%,3.57,0.35,10%,13,12.3km,1.03,46.99,38.98,13.89,12.29,5.52,0.14,0.35,0.05,0.89,1.52,2.06,16.02,0.84,2.71,0.35,54%,2.76,84%,83%,7.17,0.11,0.16,0.84,0.14
,  ,Tom Roberts,£0,0.9,23,JD Cymru Premier,,,,5.6,0.48,35,,,0,,0.03,,0.03,0.16,0%,2.4,0.32,20%,2.4,0.48,20%,3,11.9km,0.48,45.88,38.69,10.87,18.86,5.12,0,0.16,0,0.16,1.44,1.28,5.44,0.8,2.08,0.96,43%,1.76,65%,84%,7.03,0.16,0.16,0.8,
,  ,Zac Williams,£4.5K  £14K,1.5,103,JD Cymru Premier,,,,5.5,0.27,207,,,0.11,,0.02,,0.02,0.09,29%,3.8,0.51,17%,1.49,0.27,18%,10,12.3km,0.61,49.2,43.56,11.51,8.27,4.94,0.08,0.19,0.05,0.8,1.3,2.15,15.18,0.77,2.26,0.58,69%,2.6,83%,89%,7.15,0.19,0.19,0.77,0.13
,  ,Jonathan O'Dea,£0,2.1,64,JD Cymru Premier,,,,6.14,0.84,51,8%,747,0.03,,0.17,0.12,0.17,0.11,8%,2.17,0.48,18%,4.46,0.84,19%,7,11.9km,0.24,45.06,39.04,12.89,12.65,3.86,0.24,1.57,0.12,0.48,2.05,1.81,14.82,1.08,2.41,0.72,35%,2.89,96%,87%,6.51,0,,1.08,
,  ,Charlie Bullock,£0,0.89,62,JD Cymru Premier,,,,4.64,0.28,116,,,0.11,,0.05,,0.05,0.1,15%,2.16,0.32,31%,0.88,0.28,32%,7,12.0km,0.52,44.26,38.74,7.44,14.29,3.16,0.16,0.52,0.08,0.4,0.96,1.52,15.53,1.08,3,0,47%,2.16,83%,88%,10.52,0.04,0.08,1.12,
